,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Month,Year
15,21.4,29.7,12.6,1016.4,65,0,1.4,2.8,9.4,-, , , , ,3,2014
16,23.1,31.6,15.5,1015.4,61,0,1.9,6.3,16.5,-, , , , ,3,2014
17,26.4,34.4,16,1011.2,57,0,1.9,6.9,11.1,-, , , , ,3,2014
18,24.5,34.4,19.6,1013,62,0.25,2.3,9.1,16.5,-, , , , ,3,2014
19,21.7,28.4,16.2,1013.1,61,0,2.3,10.2,22.2,-, , , , ,3,2014
20,21.5,29.2,15,1010.8,59,0,2.6,7.4,18.3,-, , , , ,3,2014
21,22.4,32.5,14.5,1007.2,68,0,2.1,5.4,11.1,-, , , , ,3,2014
22,24.8,32.4,17.2,1007,64,0,1.8,3,7.6,-, , , , ,3,2014
23,23.2,27.6,17.6,1010.7,65,0,1,10.4,18.3,-,o, , , ,3,2014
24,22.7,29.2,19,1011.6,76,0.76,1.9,9.8,22.2,-,o, ,o, ,3,2014
25,24.6,32.7,16.5,1010.6,64,0,1.8,2.8,11.1,-, , , , ,3,2014
26,25.2,32.7,19.1,1010.7,64,0,1.9,2.8,11.1,-, , , , ,3,2014
27,23.4,29.1,19.6,1011.7,69,2.03,1.9,4.8,9.4,-, , , , ,3,2014
28,24.6,33.1,18.6,1011.2,71,2.03,1.4,4.4,11.1,-,o, ,o, ,3,2014
29,25.8,31.7,19,1011.3,61,0,1.8,8.3,16.5,-, , , , ,3,2014
30,24.3,30.7,17.5,1010,52,0,1.8,13.9,31.7,-, , , , ,3,2014
31,24.2,30.8,17,1008.2,48,0,1.9,13.1,22.2,-, , , , ,3,2014
1,24.9,33.2,16.8,1006.2,49,0,2.6,9.6,25.9,-, , , , ,4,2014
2,26.8,35.2,17.7,1005.7,50,0.25,1.9,7.2,14.8,-,o, , , ,4,2014
3,25.1,35.2,18,1010.4,53,0,2.1,10.4,25.9,-, , , , ,4,2014
4,25.7,32.2,17.8,1010.2,51,0,1.9,10.6,20.6,-, , , , ,4,2014
5,27.4,35.1,19.6,1008.9,50,0,2.6,9.3,18.3,-, , , , ,4,2014
6,30.1,38,20,1007.4,49,0,2.6,6.7,18.3,-, , , , ,4,2014
7,27.2,38,21,1009.7,55,0,1.9,13,18.3,-, , , , ,4,2014
8,25.8,32.2,19.5,1010.3,49,0,2.6,12.6,18.3,-, , , , ,4,2014
9,25.7,32.8,17.5,1010.3,41,0,2.6,12.8,25.9,-, , , , ,4,2014
10,26.3,33.5,17.9,1010.8,36,0,2.6,12.4,29.4,-, , , , ,4,2014
11,28,35.6,17,1008.8,34,0,2.9,10,25.9,-, , , , ,4,2014
12,29.1,37.2,18.9,1006.9,46,0,1.9,5.2,11.1,-, , , , ,4,2014
13,27,37.2,22.6,1009.8,49,0,1.9,15.6,27.8,-, , , , ,4,2014
14,27.7,34.5,21.5,1010.6,55,0.76,1.9,5.2,13,-,o, , , ,4,2014
15,29.1,36.5,20.5,1009.2,53,0,1.8,2.6,11.1,-, , , , ,4,2014
16,26.9,34.2,19.8,1008.1,59,2.03,1.8,4.4,7.6,-,o, , , ,4,2014
17,26.5,34.2,20.2,1006.9,57,0,1.9,9.3,22.2,-, , , , ,4,2014
18,24.9,31.6,18.5,1011.2,68,7.11,2.3,11.1,18.3,-, , , , ,4,2014
19,25.6,32.3,20,1011.4,64,0,1.9,5,14.8,-,o, , , ,4,2014
20,26.8,33.6,19.2,1010.5,53,0,1.6,4.6,11.1,-, , , , ,4,2014
21,28.1,35.8,18.6,1010,40,0,1.9,8.7,16.5,-, , , , ,4,2014
22,29.5,36,20.4,1011.9,37,0,2.7,12.4,27.8,-, , , , ,4,2014
23,29,36,21.6,1008.9,44,0,2.3,6.1,16.5,-, , , , ,4,2014
24,29.4,37.2,21.2,1006,42,0,2.6,8,22.2,-, , , , ,4,2014
25,30.5,38.8,20.6,1006,41,0,2.4,8.1,22.2,-, , , , ,4,2014
26,31.5,38.8,22.1,1006.2,39,0,2.4,8.1,16.5,-,o, , , ,4,2014
27,30.6,38.7,21.5,1007,36,0,1.9,8.3,18.3,-, , , , ,4,2014
28,31.4,39.5,21,1005.6,34,0,1.9,10.2,27.8,-, , , , ,4,2014
29,32.2,41,22.6,1003.9,34,0,2.6,8.3,25.9,-, , , , ,4,2014
30,33.4,42.1,22.8,1003.6,32,0,2.6,5.2,16.5,-, , , , ,4,2014
1,34.8,42.8,24.2,1001.7,30,0,2.3,9.6,18.3,-, , , , ,5,2014
2,34.5,41.7,26.2,1001.8,33,0,1.9,6.5,11.1,-, , , , ,5,2014
3,31.8,41.7,26.2,1003.7,43,0,1.9,7.4,18.3,-, , , , ,5,2014
4,31.9,39.7,21.6,1003.2,40,0,1.9,5.9,9.4,-, , , , ,5,2014
5,30,39.7,25.6,1006,56,14.99,2.3,10.2,14.8,-,o, , , ,5,2014
6,30.2,35.8,23.1,1006.9,57,0,1.9,7,14.8,-, , , , ,5,2014
7,31.8,38.6,24.2,1004.3,54,0,1.9,1.9,7.6,-, , , , ,5,2014
8,32.2,39.5,25.2,1002.1,45,0,1.6,9.3,16.5,-, , , , ,5,2014
9,30.7,39.5,21.4,1000.5,43,6.1,1.6,6.5,14.8,-, , , , ,5,2014
10,30.1,37.6,23,1000.9,45,0,1.9,7.8,20.6,-, , , , ,5,2014
11,30.1,35.2,25,1003.8,49,0,1.9,7.2,13,-, , , , ,5,2014
12,28.2,35.3,24.2,1005,60,0,8.9,10.9,27.8,-,o, , , ,5,2014
13,25.2,30.6,18,1008.2,71,9.91,2.6,10,20.6,-,o, , , ,5,2014
14,26.9,32.1,19,1006.6,62,4.06,1.8,8.5,18.3,-, , ,o, ,5,2014
15,29.7,35.4,23,1004.1,48,0,1.8,11.1,16.5,-, , , , ,5,2014
16,31.1,36.7,25,1003.5,46,0,2.6,9.4,22.2,-, , , , ,5,2014
17,30,36.9,24.1,1007.1,54,0,2.6,7.2,18.3,-, , , , ,5,2014
18,32.4,39.1,24.4,1006.8,39,0,1.9,14.8,27.8,-, , , , ,5,2014
19,32.3,39.1,24,1006.6,36,0,2.3,11.7,24.1,-, , , , ,5,2014
20,31.9,38.8,26.5,1006,39,0,2.3,8.7,22.2,-, , , , ,5,2014
21,32.8,38.6,24.8,1002.3,40,0,1.9,9.6,18.3,-, , , , ,5,2014
22,33.3,40.6,24.2,999.6,39,0,2.6,11.1,27.8,-, , , , ,5,2014
23,34.5,43.6,25.8,1000,39,0.51,2.3,19.4,29.4,-,o, ,o, ,5,2014
24,31.6,43.6,25.5,1004,55,2.03,2.6,6.7,14.8,-, , , , ,5,2014
25,32.4,40.6,23.2,1005.2,45,8.89,2.7,8.9,14.8,-, , ,o, ,5,2014
26,30,36.4,21.4,1007.2,60,12.95,2.6,4.1,14.8,-, , , , ,5,2014
27,31.8,38.8,24,1004.8,54,0,1.9,2.6,7.6,-, , , , ,5,2014
28,33.6,40.6,25.6,1001.3,47,0,2.6,3.9,13,-, , , , ,5,2014
29,35.3,43.7,26.3,999.2,43,0,2.7,4.4,11.1,-, , , , ,5,2014
30,33.9,43.7,29.1,999.4,48,0.51,1.8,7.8,14.8,-, , , , ,5,2014
31,34.6,42.8,25,999.6,46,0,1.8,6.3,18.3,-, , , , ,5,2014
1,32.9,41.6,25.6,1003,44,0.51,2.9,17.4,55.4,-,o, ,o, ,6,2014
2,32.8,39.9,25,1003.3,48,0,2.6,4.6,14.8,-, , , , ,6,2014
3,34.8,41.7,26.5,1000,40,0,2.6,6.5,14.8,-, , , , ,6,2014
4,35.3,43.4,26,998,39,0,1.8,7.2,16.5,-, , , , ,6,2014
5,36.9,44.7,27.7,996.1,34,0,2.6,8.5,14.8,-, , , , ,6,2014
6,37.4,45,29.4,995.1,36,0,2.3,10.2,18.3,-, , , , ,6,2014
7,38.5,44.9,30.8,994,31,0,1.9,13.1,29.4,-, , , , ,6,2014
8,37.8,45.1,28.6,993.3,34,0,1.9,6.7,18.3,-, , , , ,6,2014
9,37.9,45.5,30.1,993.1,38,0,1.9,5.9,16.5,-, , , , ,6,2014
10,37.3,45.5,28.1,994.8,28,0,1.9,12,24.1,-, , , , ,6,2014
11,37.5,43.6,31.2,995.7,31,0,2.3,14.8,27.8,-, , , , ,6,2014
12,33,43.6,28.4,997.1,49,3.05,1.9,24.3,55.4,-,o, ,o, ,6,2014
13,30.3,41.1,22.7,997.7,62,0.76,2.6,16.7,29.4,-, , , , ,6,2014
14,30.5,37.1,25.5,997.3,73,3.05,2.6,6.5,22.2,-,o, ,o, ,6,2014
15,33.9,40.6,28,997,59,0,2.1,8.1,25.9,-, , , , ,6,2014
16,36.4,41.2,30.6,995.5,50,0,2.7,10.9,20.6,-, , , , ,6,2014
17,36.8,43.3,31.2,994.2,48,0,2.6,15.9,25.9,-, , , , ,6,2014
18,34.4,43.3,29.2,994.3,61,0,1.9,10.9,24.1,-, , , , ,6,2014
19,35.6,41.4,28.4,993.2,55,4.06,1.9,10.9,18.3,-, , , , ,6,2014
20,37.9,43,31,991.5,44,0,2.3,17.8,25.9,-, , , , ,6,2014
21,36.9,41.7,32.7,994,49,0,1.9,9.8,24.1,-, , , , ,6,2014
22,34.5,41.7,30.3,996.3,55,0,1.9,4.4,11.1,-, , , , ,6,2014
23,32.7,38.8,29.4,995.9,56,3.05,1.9,6.3,14.8,-, , , , ,6,2014
24,33.1,39,26.5,995.4,54,0,2.3,10.2,22.2,-, , , , ,6,2014
25,33.3,39,25.3,997.7,56,0,1.9,9.8,16.5,-, , , , ,6,2014
26,32.4,38.1,23.5,1000.8,66,25.91,1.9,3.3,7.6,-,o, , , ,6,2014
27,34.7,39.9,28.8,1001.5,55,0.25,1.9,9.4,22.2,-, , , , ,6,2014
28,34.7,39.9,29,999.4,57,0,1.9,5.9,11.1,-, , , , ,6,2014
29,33.1,39.7,26,997.7,63,-,1.9,9.6,25.9,-,o, , , ,6,2014
30,32.2,39.7,25.2,997.6,72,5.08,1.9,3.1,11.1,-, , , , ,6,2014
1,31.2,35.2,27,1000.9,71,0,1.9,6.3,11.1,-,o, ,o, ,7,2014
2,29.5,36.6,25.5,1000.9,76,0,1.8,5.7,14.8,-,o, ,o, ,7,2014
3,28.9,36.6,26.1,998.4,80,4.06,1.9,5.2,14.8,-, , , , ,7,2014
4,32.5,36.8,26,996.8,68,7.11,1.8,4.1,14.8,-,o, , , ,7,2014
5,34,38.6,29,998.8,60,0.51,1.9,4.6,18.3,-, , , , ,7,2014
6,30.8,38.6,28.4,1000.4,66,0,1.9,4.3,20.6,-, , ,o, ,7,2014
7,34,38.8,26.8,998.1,55,1.02,1.9,5.6,14.8,-, , , , ,7,2014
8,34.9,40.3,28.6,996.8,48,0,1.9,9.6,25.9,-, , , , ,7,2014
9,35.9,40.5,29.6,996.3,46,0,1.9,13.7,27.8,-, , , , ,7,2014
10,36,41.3,30,996.8,46,0,1.9,11.3,27.8,-, , , , ,7,2014
11,36.7,42,30.1,996.2,45,0,2.7,8.9,22.2,-, , , , ,7,2014
12,36.4,42.3,30.5,996.1,54,0,1.9,4.3,9.4,-, , , , ,7,2014
13,33.3,42.3,29.2,997.8,69,0,1.9,5.2,9.4,-, , , , ,7,2014
14,32.4,40.2,25.9,997.2,74,25.91,1.9,6.7,14.8,-, , , , ,7,2014
15,33.2,39,28.5,996.2,68,0,1.9,8.9,11.1,-, , , , ,7,2014
16,32.6,39,27.9,997.2,70,0,1.9,10.4,13,-, , , , ,7,2014
17,30.8,36.8,26.4,995.9,77,40.89,1.9,6.7,14.8,-,o, ,o, ,7,2014
18,27.3,36.8,24.6,994.9,88,3.05,1.9,2.6,11.1,-,o, , , ,7,2014
19,29.8,33.6,25.4,995.1,76,0,1.9,6.3,18.3,-, , , , ,7,2014
20,30.8,34.6,26.5,996.6,74,0,1.9,6.3,14.8,-, , , , ,7,2014
21,32.1,35.8,27.2,996.1,71,0,1.9,4.6,9.4,-, , , , ,7,2014
22,31.7,36.3,29.4,997,75,3.05,1.9,7.2,29.4,-,o, , , ,7,2014
23,30.7,34.1,28.2,997.8,77,0,1.9,8.1,16.5,-, , , , ,7,2014
24,30.7,34,27,998.7,70,0,1.9,12,20.6,-, , , , ,7,2014
25,30.7,33.9,26.5,1000.8,70,0,1.9,10,14.8,-,o, , , ,7,2014
26,32.5,37.5,27.6,1001.9,67,0,1.9,7.2,18.3,-, , , , ,7,2014
27,31.7,37.5,28.1,1002.1,71,0,1.9,2.4,33.5,-, , , , ,7,2014
28,30.2,37.4,27.7,999.3,80,3.05,1.6,4.3,14.8,-,o, , , ,7,2014
29,30.3,34.9,25.8,999.4,76,0,1.9,5.7,11.1,-, , , , ,7,2014
30,31.9,36.5,26.6,999.6,72,0,1.9,4.1,11.1,-, , , , ,7,2014
31,32.5,36.5,28.2,999.9,71,0,1.9,7.8,16.5,-, , , , ,7,2014
1,33.3,37.7,28.1,998,66,0,1.9,6.5,9.4,-, , , , ,8,2014
2,30.3,35.3,28.4,996.9,81,38.1,1.9,0.9,7.6,-,o, , , ,8,2014
3,31.4,36.6,27,995.3,72,0,1.9,5.7,13,-, , , , ,8,2014
4,30.5,36.6,27.8,996.1,75,0,1.9,5.2,11.1,-, , , , ,8,2014
5,29.8,35.4,26.8,997.5,82,0.51,1.4,1.9,11.1,-,o, , , ,8,2014
6,32.6,35.5,30,996.3,67,0,1.9,7.4,9.4,-, , , , ,8,2014
7,31,34,29,996.8,71,0,1.9,5.6,16.5,-, , , , ,8,2014
8,30.9,35,27.6,998.4,73,0.51,1.9,5.9,14.8,-, , , , ,8,2014
9,30.9,35.4,27,1000.3,75,0,1.9,4.8,16.5,-, , , , ,8,2014
10,28.8,32.5,27.6,1000.8,88,76.96,1.9,3.5,13,-,o, ,o, ,8,2014
11,31,36,25,999.8,76,-,1.6,3,7.6,-,o, , , ,8,2014
12,32.1,36.6,27.6,998.6,65,0,1.9,8.3,13,-, , , , ,8,2014
13,32,36.6,27,998.1,63,0,2.3,20.7,27.8,-, , , , ,8,2014
14,30.5,36.2,25.4,997.3,65,0,2.3,18.5,29.4,-, , , , ,8,2014
15,31.2,35.7,27.6,999,62,0,1.9,14.6,27.8,-, , , , ,8,2014
16,30.6,35.2,26.2,1002.9,67,0,1.9,6.9,18.3,-, , , , ,8,2014
17,31.3,36.3,25.8,1003.1,60,0,2.3,7.2,14.8,-, , , , ,8,2014
18,31.8,36.4,27,1005.3,63,0,1.9,5.6,13,-, , , , ,8,2014
19,33,37,27,1004.8,59,0,1.9,6.9,16.5,-, , , , ,8,2014
20,33.3,38.4,28,1002.5,54,0,1.9,8.9,18.3,-, , , , ,8,2014
21,32.6,38.4,28,1001.3,51,0,1.9,10.9,27.8,-, , , , ,8,2014
22,32.9,38.1,26.4,1002.5,54,0,2.3,8.5,22.2,-, , , , ,8,2014
23,33.1,38.2,27.5,1003.2,53,0,1.9,9.3,22.2,-, , , , ,8,2014
24,33.2,38.2,28,1003,53,0,2.7,11.3,25.9,-, , , , ,8,2014
25,33.7,39.1,27.5,1002.6,53,0,2.7,7.8,16.5,-, , , , ,8,2014
26,34.1,39.4,29,1001.5,49,0,3.1,10,18.3,-, , , , ,8,2014
27,34.1,39.4,27.5,1001.1,53,0,2.9,8,20.6,-, , , , ,8,2014
28,29.7,38.2,27.2,1003.9,73,7.11,2.3,6.7,35.2,-,o, , , ,8,2014
29,30.4,37.2,26,1003.5,75,0,1.9,3.7,14.8,-, , , , ,8,2014
30,28.7,34.8,23.7,1002.5,82,9.91,1.9,4.3,14.8,-,o, ,o, ,8,2014
31,27.5,34.8,25,1001,89,2.03,1.9,4.3,16.5,-,o, ,o, ,8,2014
1,29.5,35.3,24.6,1001.1,71,36.07,2.3,10.9,48.2,-, , , , ,9,2014
2,29.4,35.3,26.3,1001.7,76,0,2.6,10.4,20.6,-,o, , , ,9,2014
3,28.5,33.2,26,1001.3,82,2.03,1.9,15,25.9,-,o, ,o, ,9,2014
4,27.8,33.2,25,1000.3,85,4.06,2.1,9.3,20.6,-,o, ,o, ,9,2014
5,26.6,32.5,24.6,1000.1,89,12.95,1.9,8.3,25.9,-,o, ,o, ,9,2014
6,28.6,32.2,23.6,1002.5,81,0,1.9,2,7.6,-, , , , ,9,2014
7,30.9,34.7,25.7,1003.5,73,0,1.9,1.3,5.4,-, , , , ,9,2014
8,31.2,36,26.4,1003.3,72,0,1.9,3.5,13,-, , , , ,9,2014
9,30.8,36,26.8,1002.5,76,0,1.9,1.9,11.1,-, , , , ,9,2014
10,28.7,36,26.6,1003.3,82,1.02,1.9,4.8,13,-,o, , , ,9,2014
11,26.5,29.1,25.2,1005.7,89,14.99,1.1,3.5,13,-,o, , , ,9,2014
12,28.5,33.6,23,1005.1,77,0,1.9,1.7,9.4,-, , , , ,9,2014
13,29.3,34.1,23.5,1004.1,73,0,1.8,4.3,11.1,-, , , , ,9,2014
14,29,34.8,24.6,1004.3,71,0,1.9,6.7,14.8,-, , , , ,9,2014
15,29.8,34.9,22.5,1004.2,68,0,2.6,6.7,18.3,-, , , , ,9,2014
16,30.6,34.9,26,1002.4,70,0,1.9,6.3,20.6,-, , , , ,9,2014
17,30.6,35.5,25.6,1002.1,67,0,2.7,7.4,18.3,-, , , , ,9,2014
18,30.5,35.7,25.2,1003.8,67,0,1.9,6.7,18.3,-, , , , ,9,2014
19,31,36.3,25.3,1003.5,62,0,3.1,4.3,14.8,-, , , , ,9,2014
20,31,36.3,26,1002.8,61,0,2.3,4.4,11.1,-, , , , ,9,2014
21,30.4,36.2,25.2,1003.6,61,0,2.6,5.6,14.8,-, , , , ,9,2014
22,30.6,36,25,1004.5,57,0,2.6,13.3,29.4,-, , , , ,9,2014
23,30.8,35.7,26,1004,54,0,3.7,11.1,25.9,-, , , , ,9,2014
24,29.6,36,24.4,1006.3,59,0,2.6,8.1,25.9,-, , , , ,9,2014
25,30,35.8,24.2,1007.7,58,0,2.6,9.6,18.3,-, , , , ,9,2014
26,30.1,35.7,24,1008.1,57,0,2.4,5.7,16.5,-, , , , ,9,2014
27,30.7,36.3,25.4,1009.2,54,0,3.1,8.9,16.5,-, , , , ,9,2014
28,30.4,36.3,25.1,1009.6,55,0,2.7,7.2,14.8,-, , , , ,9,2014
29,30.4,36.4,24.9,1009.1,55,0,2.9,7.4,18.3,-, , , , ,9,2014
30,30.6,37.2,24,1009.4,55,0,2.4,6.7,18.3,-, , , , ,9,2014
1,31,36.9,24.3,1010.1,54,0,3.1,3.1,11.1,-, , , , ,10,2014
2,30.3,36.9,24.6,1009.1,58,0,2.6,2.8,9.4,-, , , , ,10,2014
3,30.7,37,24.4,1008.1,57,0,2.7,2,14.8,-, , , , ,10,2014
4,31.3,38,24.6,1008.8,55,0,2.1,0,-,-, , , , ,10,2014
5,30.6,37.7,24.2,1010.3,60,0,2.1,0,-,-, , , , ,10,2014
6,30.8,37.7,24.6,1010,61,0,1.6,0,-,-, , , , ,10,2014
7,30.9,37.2,24.5,1008.3,65,0,1.6,1.1,5.4,-, , , , ,10,2014
8,29.6,35.2,24.9,1009.9,59,0,1.9,3,20.6,-, , , , ,10,2014
9,27.6,34.6,22.2,1010,56,0,2.3,3.3,11.1,-, , , , ,10,2014
10,27,34.6,20.3,1008.7,62,0,1.9,3.1,14.8,-, , , , ,10,2014
11,25.7,34,19.8,1008.5,62,0,1.4,4.3,25.9,-, , , , ,10,2014
12,26,33.6,18.2,1008.3,62,0,1.8,0.4,3.5,-, , , , ,10,2014
13,27.6,34.5,18.6,1009.8,66,0,1.8,8.7,14.8,-, , , , ,10,2014
14,24.4,33.6,21.4,1011,75,2.03,1.9,5.4,14.8,-, , , , ,10,2014
15,24.5,30.4,19.6,1014.8,73,0,2.1,3.1,7.6,-, , , , ,10,2014
16,23.2,30.6,16.2,1014.1,62,0,2.6,4.8,18.3,-, , , , ,10,2014
17,24.9,31.6,15.6,1013.8,53,0,1.6,3.1,7.6,-, , , , ,10,2014
18,24.1,31.6,16.5,1012.8,60,0,1.6,2.6,11.1,-, , , , ,10,2014
19,23.8,31.5,16.5,1012.5,61,0,1.4,4.3,11.1,-, , , , ,10,2014
20,24.7,32.3,16.6,1013.3,60,0,1.8,4.4,14.8,-, , , , ,10,2014
21,25.4,33.3,18,1014.5,60,0,1.4,2,5.4,-, , , , ,10,2014
22,25.7,34.3,18,1014.5,67,0,1.1,0.4,3.5,-, , , , ,10,2014
23,25.3,34.3,18.2,1012.8,69,0,1,0.9,7.6,-, , , , ,10,2014
24,25.5,33.2,19,1011.8,72,0,1.3,1.9,7.6,-, , , , ,10,2014
25,25.4,33.1,18.6,1012.3,71,0,1,0.9,3.5,-, , , , ,10,2014
26,25.1,32.3,19.4,1014.9,69,0,1.4,2,9.4,-, , , , ,10,2014
27,24.9,32.6,19.5,1013.7,67,0,1.4,1.9,9.4,-, , , , ,10,2014
28,25,32.6,17.9,1011.9,69,0,1,2.6,9.4,-, , , , ,10,2014
29,24.9,31.7,19.8,1012.3,70,0.51,1.1,1.7,13,-, , , ,o,10,2014
