,T,TM,Tm,SLP,H,PP,VV,V,VM,PM2.5,Date
349,14.0,19.3,9.0,1021,80,0,1.1,4.6,9,72,2014-12-16
350,12.9,19.6,9.2,1020,76,0,1.0,6.5,14,79,2014-12-17
351,11.7,19.6,7.4,1021,82,0,0.6,3.0,11,92,2014-12-18
352,11.7,17.6,7.4,1022,85,0,0.3,0.4,3,146,2014-12-19
353,11.3,17.5,7.2,1018,81,0,0.8,5.7,13,139,2014-12-20
354,9.5,17.5,5.6,1018,84,0,0.5,0.9,3,112,2014-12-21
355,9.4,15.8,4.2,1017,89,0,0.3,1.3,3,123,2014-12-22
356,9.6,16.3,6.0,1017,83,0,0.5,1.7,9,124,2014-12-23
357,9.6,15.9,5.0,1021,86,0,0.3,3.5,9,116,2014-12-24
358,9.3,16.0,6.0,1020,85,0,0.6,8.1,14,132,2014-12-25
359,10.8,17.0,6.3,1017,82,0,0.8,7.8,11,146,2014-12-26
360,10.4,19.2,4.8,1018,71,0,0.8,2.8,11,146,2014-12-27
361,8.9,18.3,2.6,1019,88,0,0.2,0.7,5,148,2014-12-28
362,11.1,21.2,4.8,1017,74,0,0.6,1.5,11,138,2014-12-29
363,11.6,21.2,4.5,1014,74,0,0.6,2.6,9,140,2014-12-30
364,14.9,21.6,8.8,1017,76,0,0.8,0.9,7,313,2015-01-01
365,14.7,21.6,10.2,1018,97,5,0.6,3.1,9,186,2015-01-02
366,15.0,16.8,13.6,1017,94,7,0.5,0.9,7,87,2015-01-03
367,14.2,19.0,9.8,1019,82,0,1.0,9.4,16,151,2015-01-04
368,13.9,20.7,7.8,1015,74,0,1.3,15.0,22,146,2015-01-05
369,12.0,20.7,8.4,1015,83,0,0.8,4.4,11,149,2015-01-06
370,9.8,17.6,6.4,1016,90,0,0.5,3.9,11,217,2015-01-07
371,10.1,14.5,7.2,1019,90,0,0.3,3.3,7,229,2015-01-08
372,10.5,16.3,6.8,1020,84,0,0.5,1.5,5,201,2015-01-09
373,11.2,18.3,7.2,1018,77,0,0.8,4.4,9,221,2015-01-10
374,11.1,18.3,6.6,1019,83,0,0.6,4.8,13,205,2015-01-11
375,10.6,16.2,5.7,1019,83,0,0.5,0.9,7,212,2015-01-12
376,12.3,18.3,4.0,1017,81,0,0.5,4.8,9,197,2015-01-13
377,12.1,18.3,9.0,1017,86,0,0.6,5.2,9,164,2015-01-14
378,12.3,19.0,5.8,1019,82,0,0.5,0.9,7,166,2015-01-15
379,13.0,20.6,8.2,1019,81,0,0.6,4.6,13,174,2015-01-16
380,13.6,21.1,8.4,1019,80,0,1.0,1.9,9,196,2015-01-17
381,13.2,21.6,6.4,1018,76,0,1.0,2.6,9,201,2015-01-18
382,13.9,21.6,9.4,1019,79,0,1.0,1.9,14,183,2015-01-19
383,13.4,20.7,9.8,1020,80,0,0.8,7.2,11,165,2015-01-20
384,13.3,17.5,9.5,1021,79,-1,0.8,3.7,7,159,2015-01-21
385,12.6,13.2,12.0,1020,96,3,0.6,3.1,7,143,2015-01-22
386,14.7,19.8,11.4,1019,88,7,1.0,1.1,9,128,2015-01-23
387,12.5,19.8,10.3,1020,89,0,1.0,9.8,14,164,2015-01-24
388,13.1,18.3,8.5,1020,80,0,0.8,4.1,14,148,2015-01-25
389,13.7,18.3,11.6,1019,91,1,0.6,0.9,7,129,2015-01-26
390,13.3,18.4,9.8,1019,79,0,1.0,5.2,14,154,2015-01-27
391,12.6,18.4,7.9,1017,66,0,1.1,10.7,-1,134,2015-01-28
392,12.2,18.7,4.8,1020,62,0,1.3,6.1,-1,173,2015-01-29
393,12.7,19.6,6.2,1020,61,0,2.1,12.0,24,178,2015-01-30
394,13.8,21.5,7.2,1018,60,0,2.4,9.1,24,158,2015-01-31
395,15.1,24.0,6.7,1017,66,0,1.3,5.0,11,211,2015-02-01
396,17.3,23.8,10.4,1017,70,0,1.0,11.9,18,163,2015-02-02
397,16.7,23.8,13.0,1020,75,0,0.8,7.2,14,157,2015-02-03
398,14.6,23.1,11.3,1022,84,0,0.6,9.3,14,137,2015-02-04
399,14.4,22.6,9.6,1019,62,0,1.4,7.4,18,131,2015-02-05
400,15.2,24.5,7.0,1019,64,0,1.8,3.0,11,151,2015-02-06
401,15.7,25.6,7.4,1016,68,0,1.4,1.9,7,160,2015-02-07
402,16.7,25.6,9.3,1017,66,0,1.4,4.4,13,145,2015-02-08
403,16.9,25.5,10.5,1019,65,0,2.3,5.6,22,134,2015-02-09
404,15.8,24.3,9.7,1019,65,0,2.4,4.6,11,153,2015-02-10
405,16.1,24.3,8.3,1017,70,0,1.4,1.9,7,116,2015-02-11
406,15.6,24.0,8.7,1016,73,0,1.3,5.9,18,177,2015-02-12
407,17.2,25.5,9.3,1012,61,0,2.4,6.7,20,167,2015-02-13
408,19.3,28.6,10.6,1009,65,0,2.6,4.3,14,193,2015-02-14
409,18.9,28.6,11.2,1012,73,0,0.8,1.5,7,184,2015-02-15
410,20.7,27.1,14.6,1013,76,0,1.3,10.4,14,152,2015-02-16
411,20.7,27.6,16.2,1012,78,0,1.4,5.4,14,161,2015-02-17
412,21.3,28.9,14.4,1011,76,0,0.8,5.0,13,188,2015-02-18
413,22.9,29.3,17.0,1012,78,0,1.6,7.6,14,159,2015-02-19
414,22.8,29.3,18.0,1013,72,2,1.9,7.2,14,144,2015-02-20
415,21.9,29.1,15.2,1014,69,0,2.3,11.3,18,155,2015-02-21
416,22.2,28.6,16.0,1013,65,0,1.9,15.7,25,124,2015-02-22
417,21.6,28.6,16.6,1014,77,0,1.1,3.0,5,141,2015-02-23
418,22.9,28.6,15.2,1010,75,0,0.8,5.7,11,170,2015-02-24
419,23.2,28.6,18.4,1008,65,0,1.4,6.5,13,148,2015-02-25
420,20.0,27.6,14.5,1009,42,0,1.9,6.7,11,140,2015-02-26
421,19.2,27.6,11.1,1013,49,0,2.6,5.7,11,130,2015-02-27
422,21.2,29.2,12.6,1012,51,0,2.6,7.0,11,105,2015-02-28
423,17.3,19.0,15.2,1011,94,7,1.8,14.8,24,71,2015-03-01
424,17.4,22.1,14.6,1012,92,56,1.9,6.7,16,53,2015-03-02
425,16.1,22.1,12.8,1013,84,7,1.8,5.6,13,83,2015-03-03
426,16.8,23.4,10.7,1014,71,0,2.1,6.7,18,91,2015-03-04
427,18.8,27.1,9.7,1015,65,0,2.6,3.7,14,106,2015-03-05
428,20.2,27.3,14.0,1016,65,0,2.7,5.0,18,101,2015-03-06
429,18.6,27.3,12.5,1014,79,7,2.6,3.9,13,77,2015-03-07
430,19.4,27.6,14.0,1015,79,0,2.3,7.8,18,63,2015-03-08
431,18.1,24.1,13.3,1021,60,0,2.7,12.2,20,76,2015-03-09
432,17.7,23.6,10.0,1019,73,0,1.9,8.5,14,86,2015-03-10
433,18.3,26.0,12.2,1018,73,0,1.4,6.1,13,104,2015-03-11
434,20.6,28.5,12.5,1017,65,0,2.1,5.4,11,115,2015-03-12
435,21.3,28.3,14.2,1014,70,0,1.6,4.1,9,108,2015-03-13
436,21.6,27.3,15.8,1015,71,0,2.6,7.8,20,67,2015-03-14
437,17.7,27.3,16.0,1015,92,4,1.9,11.5,18,38,2015-03-15
438,20.5,26.6,14.2,1017,81,0,2.6,8.5,16,45,2015-03-16
439,20.8,26.9,14.5,1015,74,0,2.6,13.1,20,55,2015-03-17
440,20.3,25.8,14.5,1013,74,0,3.1,12.2,27,50,2015-03-18
441,21.1,28.3,14.0,1014,69,0,2.4,5.4,13,69,2015-03-19
442,22.5,30.2,14.5,1014,68,0,2.6,9.1,22,96,2015-03-20
443,24.9,31.7,15.8,1014,65,0,2.6,5.9,13,96,2015-03-21
444,24.9,31.7,18.2,1012,68,0,2.4,10.2,24,72,2015-03-22
445,24.8,32.8,19.0,1010,69,0,2.7,7.6,18,78,2015-03-23
446,25.8,34.6,17.0,1010,67,0,2.6,1.5,7,91,2015-03-24
447,26.8,35.1,18.5,1011,68,0,2.3,2.6,11,107,2015-03-25
448,28.6,36.5,20.3,1012,59,0,1.8,9.3,55,109,2015-03-26
449,27.7,35.6,20.4,1011,54,0,2.7,7.4,24,62,2015-03-27
450,26.9,36.1,17.6,1009,56,0,2.7,3.7,13,102,2015-03-28
451,25.0,36.1,20.0,1008,60,0,1.9,13.3,22,104,2015-03-29
452,23.4,30.1,18.9,1010,73,10,3.4,14.8,25,44,2015-03-30
453,25.1,30.8,19.0,1010,70,0,2.1,3.7,11,55,2015-03-31
454,26.4,32.5,20.3,1007,64,0,1.9,2.4,9,112,2015-04-01
455,28.7,34.7,21.0,1004,53,-1,1.9,9.4,18,78,2015-04-02
456,24.4,34.7,19.0,1004,76,6,3.1,7.0,14,66,2015-04-03
457,21.0,30.4,17.0,1005,81,14,2.3,1.5,7,62,2015-04-04
458,23.5,30.3,17.2,1007,71,0,2.6,0.0,-1,78,2015-04-05
459,25.1,31.4,17.4,1007,64,0,2.6,2.8,11,119,2015-04-06
460,23.9,31.4,19.2,1010,69,0,1.9,9.8,13,66,2015-04-07
461,25.2,32.2,18.2,1012,56,0,2.6,6.7,16,95,2015-04-08
462,25.8,32.5,18.6,1010,58,0,2.7,9.1,24,63,2015-04-09
463,27.1,34.7,18.3,1008,55,0,2.7,6.3,20,96,2015-04-10
464,28.3,36.2,19.2,1008,50,-1,2.7,8.1,22,131,2015-04-11
465,24.3,36.2,20.2,1012,69,2,2.1,5.4,11,75,2015-04-12
466,24.9,32.2,19.0,1013,74,0,2.3,7.0,13,86,2015-04-13
467,26.4,32.5,20.0,1012,68,2,2.6,3.0,11,77,2015-04-14
468,27.6,34.3,20.8,1013,65,0,3.1,5.9,14,98,2015-04-15
469,25.2,34.3,21.2,1013,64,0,2.6,8.1,22,81,2015-04-16
470,28.0,35.3,20.0,1007,54,0,2.7,8.3,20,65,2015-04-17
471,30.2,38.0,21.8,1002,50,0,2.3,5.6,14,119,2015-04-18
472,32.0,40.6,21.6,1003,45,0,2.7,4.3,9,125,2015-04-19
473,32.8,40.6,26.0,1005,45,0,1.9,7.2,11,121,2015-04-20
474,31.8,39.6,25.4,1005,35,0,1.9,11.1,27,114,2015-04-21
475,30.8,38.6,21.0,1003,33,0,2.7,11.3,27,101,2015-04-22
476,30.9,39.5,21.1,1004,38,0,2.7,8.1,33,118,2015-04-23
477,31.1,39.5,22.7,1004,47,0,2.6,2.6,9,143,2015-04-24
478,30.4,39.1,22.2,1005,51,0,1.9,13.0,22,106,2015-04-25
479,28.8,37.1,22.8,1008,59,0,1.9,15.7,25,65,2015-04-26
480,30.2,37.1,23.5,1006,59,0,1.9,17.6,33,67,2015-04-27
481,31.1,37.1,24.0,1004,56,0,2.3,12.4,25,81,2015-04-28
482,31.4,37.2,24.7,1005,54,0,2.6,9.1,11,63,2015-04-29
483,32.7,39.4,25.2,1003,52,0,2.6,15.0,27,60,2015-04-30
484,31.2,39.4,24.2,1005,52,-1,2.7,5.4,14,76,2015-05-01
485,30.2,37.6,23.6,1006,47,0,2.6,4.4,11,72,2015-05-02
486,30.9,38.9,21.7,1006,44,0,2.7,3.0,11,121,2015-05-03
487,30.8,39.5,22.0,1006,43,0,4.2,3.9,13,108,2015-05-04
488,32.3,40.8,21.3,1004,34,0,2.6,7.6,20,145,2015-05-05
489,34.2,42.7,24.5,1002,27,0,2.7,11.3,22,171,2015-05-06
490,35.7,42.7,27.6,1003,21,0,1.9,14.4,27,117,2015-05-07
491,34.1,42.7,27.0,1003,29,0,1.9,12.2,27,90,2015-05-08
492,35.1,42.7,25.7,1001,35,0,2.3,8.3,18,106,2015-05-09
493,35.1,42.6,26.2,1001,33,0,2.3,6.9,14,101,2015-05-10
494,34.4,42.3,28.2,1003,40,0,1.9,10.4,27,97,2015-05-11
495,33.1,39.8,26.0,1004,54,0,1.9,5.9,11,96,2015-05-12
496,28.3,38.7,23.8,1006,65,2,2.4,7.8,14,83,2015-05-13
497,29.9,35.9,22.0,1007,56,0,2.6,4.4,11,78,2015-05-14
498,28.7,35.8,24.2,1006,58,0,1.9,7.0,18,97,2015-05-15
499,30.1,37.0,22.0,1003,58,0,1.9,4.3,11,77,2015-05-16
500,33.2,40.3,24.8,1001,47,0,2.7,8.3,11,97,2015-05-17
501,35.6,42.4,28.1,1000,43,0,2.6,5.6,11,66,2015-05-18
502,31.4,41.5,24.9,1002,50,0,1.8,14.8,50,89,2015-05-19
503,33.2,41.5,22.4,1002,38,0,2.4,14.6,22,67,2015-05-20
504,35.8,42.6,27.0,1000,30,0,2.6,11.3,24,75,2015-05-21
505,36.3,43.6,27.0,998,26,0,2.7,12.4,18,67,2015-05-22
506,37.3,44.5,29.3,996,29,0,2.7,12.8,22,69,2015-05-23
507,36.2,44.5,27.5,997,36,0,2.3,5.2,14,79,2015-05-24
508,37.8,45.5,28.0,996,29,0,2.6,10.9,22,117,2015-05-25
509,35.3,45.5,24.4,999,33,-1,2.3,17.0,55,96,2015-05-26
510,33.8,45.0,24.8,1001,26,0,2.6,6.7,18,84,2015-05-27
511,35.1,41.1,29.0,1000,37,0,1.9,8.0,31,182,2015-05-28
512,35.1,42.0,27.0,1001,35,0,1.9,8.0,14,106,2015-05-29
513,35.3,42.6,27.6,1001,36,0,1.9,9.6,25,92,2015-05-30
514,35.3,40.6,28.9,1000,30,0,1.9,15.2,27,73,2015-05-31
515,30.1,40.6,23.5,1002,47,0,1.9,14.3,29,49,2015-06-01
516,31.6,39.9,22.2,1003,46,3,1.9,8.5,20,52,2015-06-02
517,28.7,34.1,23.6,1004,59,0,1.9,6.7,11,65,2015-06-03
518,31.8,38.6,23.7,1004,55,0,1.9,4.8,13,85,2015-06-04
519,32.8,38.8,26.0,1003,47,0,1.9,5.9,18,83,2015-06-05
520,33.3,38.8,25.8,1001,45,0,2.3,7.8,18,44,2015-06-06
521,35.1,42.5,26.0,999,42,0,2.6,7.2,16,85,2015-06-07
522,36.3,42.9,27.7,998,38,0,2.6,6.3,22,137,2015-06-08
523,37.6,42.4,30.0,998,32,0,1.9,18.7,27,136,2015-06-09
524,36.7,42.4,31.6,999,42,0,1.9,19.1,27,63,2015-06-10
525,35.8,41.7,29.6,1000,43,0,2.6,18.3,29,115,2015-06-11
526,35.9,41.6,29.0,998,43,0,2.7,12.8,22,83,2015-06-12
527,31.9,41.6,28.0,998,52,0,2.3,9.4,14,73,2015-06-13
528,27.0,39.7,20.5,1000,82,25,1.9,3.9,13,74,2015-06-14
529,30.8,34.9,25.5,999,66,1,1.9,3.1,9,106,2015-06-15
530,32.3,38.6,26.0,999,58,0,1.9,2.8,13,132,2015-06-16
531,33.8,39.7,26.2,998,56,0,1.9,3.1,11,123,2015-06-17
532,35.1,41.1,27.7,997,52,0,1.9,3.0,7,132,2015-06-18
533,35.9,41.6,29.0,996,54,0,1.9,8.5,18,110,2015-06-19
534,33.0,42.3,27.2,997,56,0,1.9,13.0,25,80,2015-06-20
535,30.4,34.4,25.3,997,70,7,1.9,5.6,20,59,2015-06-21
536,32.1,38.2,28.6,995,65,0,2.7,4.4,14,85,2015-06-22
537,31.6,39.4,27.2,994,67,1,2.6,3.7,14,101,2015-06-23
538,29.8,35.2,24.2,995,75,1,1.3,7.4,9,126,2015-06-24
539,26.5,36.8,22.4,994,86,21,1.8,6.3,11,37,2015-06-25
540,31.5,36.8,24.0,994,62,0,1.8,11.7,22,76,2015-06-26
541,32.7,38.0,27.0,996,56,0,1.9,14.1,29,69,2015-06-27
542,34.4,39.0,27.0,999,56,0,1.9,9.1,20,79,2015-06-28
543,31.1,39.0,26.2,1004,64,0,1.9,11.7,18,48,2015-06-29
544,31.1,36.2,27.7,1002,65,0,1.9,10.0,14,53,2015-06-30
545,31.9,37.8,25.0,1001,61,0,1.9,4.3,9,57,2015-07-01
546,33.8,38.9,27.0,1001,54,0,1.9,7.0,13,67,2015-07-02
547,33.4,39.8,27.6,999,54,0,1.9,13.0,25,65,2015-07-03
548,34.1,39.8,26.6,997,60,0,1.9,16.9,27,88,2015-07-04
549,35.3,38.4,31.2,995,56,0,1.8,13.5,25,135,2015-07-05
550,27.8,38.4,25.6,997,85,6,1.9,9.3,13,60,2015-07-06
551,28.3,33.6,23.3,998,87,10,1.9,1.7,7,52,2015-07-07
552,31.2,35.8,24.8,998,77,26,1.9,2.8,11,67,2015-07-08
553,29.7,35.8,25.2,998,82,1,1.9,2.6,9,65,2015-07-09
554,27.0,33.4,26.0,998,93,1,1.4,5.0,20,47,2015-07-10
555,25.5,27.9,23.0,999,99,0,0.6,3.1,11,29,2015-07-11
556,25.5,26.6,23.0,998,96,69,1.8,7.4,18,32,2015-07-12
557,29.9,33.7,23.3,1000,78,7,2.6,4.8,11,36,2015-07-13
558,31.1,35.6,26.4,998,73,0,1.9,10.9,18,44,2015-07-14
559,33.4,37.0,27.0,994,61,0,1.9,17.2,29,63,2015-07-15
560,31.8,37.5,28.9,994,68,0,1.9,13.3,18,77,2015-07-16
561,30.9,37.5,27.0,997,80,0,1.9,4.4,13,77,2015-07-17
562,29.6,34.8,27.2,997,83,0,1.9,4.1,14,71,2015-07-18
563,30.1,34.7,26.0,997,76,2,1.9,0.7,5,67,2015-07-19
564,29.1,34.7,24.4,999,82,3,1.9,4.8,11,49,2015-07-20
565,31.5,35.7,25.7,999,74,4,1.9,8.1,13,40,2015-07-21
566,32.3,36.7,27.5,1001,70,0,1.9,8.0,11,38,2015-07-22
567,32.1,36.7,27.6,1001,72,0,1.9,8.7,14,34,2015-07-23
568,32.0,36.5,27.8,1000,71,0,1.9,6.7,14,46,2015-07-24
569,31.3,36.5,27.3,999,73,0,2.7,8.7,14,46,2015-07-25
570,30.0,36.6,27.0,998,76,6,2.6,16.9,25,29,2015-07-26
571,29.7,34.7,24.6,1000,74,4,2.7,11.3,18,22,2015-07-27
572,29.5,34.7,24.5,1000,68,0,2.6,11.5,18,24,2015-07-28
573,28.6,34.1,24.2,997,75,0,1.9,10.9,18,29,2015-07-29
574,29.0,32.0,25.2,998,74,0,1.9,10.0,14,25,2015-07-30
575,28.9,31.6,25.0,999,77,0,1.9,4.1,14,37,2015-07-31
576,28.4,32.6,25.4,1002,77,2,1.9,0.9,7,41,2015-08-01
577,29.8,33.9,25.0,1003,75,0,1.9,2.6,7,47,2015-08-02
578,31.6,35.5,25.4,1001,63,0,1.9,5.4,11,56,2015-08-03
579,31.2,36.8,26.0,999,73,-1,1.9,1.9,9,54,2015-08-04
580,29.9,36.8,26.5,998,82,0,1.9,3.7,11,59,2015-08-05
581,29.8,35.1,25.5,998,83,14,1.8,3.0,5,65,2015-08-06
582,29.4,34.4,26.4,999,86,0,1.8,2.2,14,64,2015-08-07
583,28.8,34.4,25.3,1001,88,16,1.6,1.7,7,70,2015-08-08
584,27.5,30.8,25.0,1000,92,29,1.3,3.0,7,55,2015-08-09
585,30.6,34.7,25.5,999,81,40,1.8,0.0,-1,82,2015-08-10
586,28.4,34.6,26.4,1003,90,99,1.4,0.4,3,77,2015-08-11
587,30.5,35.5,26.5,1003,79,0,1.6,0.0,-1,52,2015-08-12
588,31.9,35.8,28.0,1001,75,0,1.9,0.4,3,61,2015-08-13
589,30.9,35.8,28.6,1001,78,0,1.9,3.3,14,65,2015-08-14
590,28.5,33.8,26.2,1002,88,7,1.4,0.0,-1,51,2015-08-15
591,28.4,34.6,26.4,1002,87,2,1.8,2.4,14,55,2015-08-16
592,30.7,35.2,26.5,1001,77,6,1.9,0.7,5,61,2015-08-17
593,29.3,35.2,26.7,1002,77,0,1.9,4.8,16,60,2015-08-18
594,31.6,35.6,25.8,1002,67,2,2.9,13.0,22,34,2015-08-19
595,30.9,35.5,27.7,1001,66,0,1.9,14.6,27,40,2015-08-20
596,29.5,34.5,27.6,1002,77,7,1.9,8.5,18,50,2015-08-21
597,30.1,33.6,26.3,1000,72,0,1.9,5.7,14,46,2015-08-22
598,30.0,35.2,25.1,1000,74,-1,1.8,5.6,13,44,2015-08-23
599,30.7,35.2,23.6,1001,71,55,2.6,7.2,16,37,2015-08-24
600,32.0,35.6,27.0,1000,64,0,3.4,10.0,20,52,2015-08-25
601,31.9,36.2,28.0,1001,68,0,2.6,4.8,14,57,2015-08-26
602,32.4,36.9,28.1,1001,68,0,2.7,5.4,11,61,2015-08-27
603,32.2,36.9,28.6,1002,69,0,1.9,2.2,7,77,2015-08-28
604,32.3,37.0,27.5,1001,65,0,1.9,5.7,11,68,2015-08-29
605,32.7,37.0,29.2,1001,63,0,1.9,9.3,18,57,2015-08-30
606,32.2,36.8,28.4,1002,61,0,2.6,14.6,24,51,2015-08-31
607,32.1,36.6,28.0,1000,56,0,1.9,15.4,25,73,2015-09-01
608,31.9,36.6,27.5,1001,54,0,1.9,12.8,24,97,2015-09-02
609,31.4,36.5,27.6,1005,56,0,1.9,11.7,25,99,2015-09-03
610,31.9,37.1,26.9,1008,49,0,3.1,11.3,22,97,2015-09-04
611,31.0,37.1,26.5,1007,54,0,2.6,7.6,22,76,2015-09-05
612,32.0,36.6,25.5,1006,49,0,1.9,8.7,24,61,2015-09-06
613,31.5,36.9,26.6,1005,53,0,1.9,9.4,22,55,2015-09-07
614,31.9,36.9,26.8,1005,54,0,2.7,11.9,35,63,2015-09-08
615,31.0,36.7,26.4,1005,54,0,2.6,10.2,31,58,2015-09-09
616,31.5,37.6,25.5,1006,52,0,2.6,8.5,18,60,2015-09-10
617,30.9,37.5,25.5,1006,55,0,2.7,6.1,14,67,2015-09-11
618,32.3,37.8,25.7,1006,59,0,1.9,3.1,7,87,2015-09-12
619,32.2,37.9,27.3,1005,61,0,1.9,1.3,3,84,2015-09-13
620,31.8,37.9,26.8,1003,59,0,1.9,2.6,9,111,2015-09-14
621,32.9,38.0,27.5,1003,62,0,1.9,0.4,3,108,2015-09-15
622,32.4,38.0,28.3,1003,62,0,1.9,1.3,5,91,2015-09-16
623,31.6,37.5,26.5,1004,65,0,1.9,1.1,5,104,2015-09-17
624,31.2,36.5,27.2,1005,73,0,3.1,7.4,14,56,2015-09-18
625,30.4,35.9,26.0,1003,78,22,1.6,2.0,7,67,2015-09-19
626,29.1,34.8,27.2,1003,76,0,1.9,4.6,11,64,2015-09-20
627,30.2,36.5,26.2,1002,70,0,1.9,5.7,14,45,2015-09-21
628,30.1,35.8,26.5,1002,70,0,1.9,10.2,14,35,2015-09-22
629,28.6,35.2,25.2,1006,68,0,1.9,13.7,24,34,2015-09-23
630,28.3,33.7,24.6,1004,59,0,1.9,11.5,25,63,2015-09-24
631,28.4,33.9,23.5,1003,55,0,2.6,8.5,20,82,2015-09-25
632,29.4,35.1,23.7,1005,60,0,2.3,6.3,14,88,2015-09-26
633,28.6,35.2,25.0,1007,64,0,2.3,3.0,9,89,2015-09-27
634,28.3,35.2,23.8,1008,63,0,1.9,3.9,11,69,2015-09-28
635,29.1,34.3,22.7,1010,59,0,2.6,9.4,18,68,2015-09-29
636,28.9,35.0,22.5,1011,54,0,3.5,8.3,14,61,2015-09-30
637,28.1,35.3,21.5,1011,56,0,2.6,5.6,13,85,2015-10-01
638,28.3,35.5,20.6,1011,57,0,3.2,5.0,-1,97,2015-10-02
639,30.1,36.1,23.7,1007,58,0,3.1,5.7,-1,103,2015-10-03
640,29.1,37.2,22.4,1008,60,0,3.1,3.0,9,145,2015-10-04
641,28.9,37.2,22.0,1009,65,0,2.3,1.5,7,180,2015-10-05
642,28.4,36.8,22.8,1008,68,0,2.6,4.6,14,151,2015-10-06
643,28.6,35.6,22.7,1009,72,0,1.9,6.5,18,144,2015-10-07
644,28.5,35.4,23.2,1007,70,0,1.9,4.4,14,148,2015-10-08
645,28.6,36.0,21.8,1004,65,0,1.9,6.1,24,130,2015-10-09
646,28.6,36.9,20.2,1005,60,0,2.6,6.7,18,147,2015-10-10
647,28.6,36.9,21.2,1008,56,0,3.2,6.9,18,111,2015-10-11
648,29.3,36.8,21.5,1010,61,0,2.6,3.1,13,100,2015-10-12
649,29.6,35.5,25.0,1011,69,0,1.9,3.7,9,97,2015-10-13
650,28.2,34.9,22.9,1012,70,0,1.9,3.9,9,75,2015-10-14
651,27.6,34.9,21.5,1013,71,0,1.8,0.4,3,95,2015-10-15
652,28.1,35.3,21.8,1013,69,0,1.9,0.9,3,148,2015-10-16
653,28.2,35.3,22.6,1012,69,0,1.9,3.7,11,90,2015-10-17
654,26.8,35.1,22.0,1013,75,0,1.9,0.6,-1,156,2015-10-18
655,28.2,36.1,21.9,1011,70,0,1.9,3.5,9,170,2015-10-19
656,27.7,36.2,22.9,1009,69,0,1.9,3.0,9,198,2015-10-20
657,26.6,36.2,21.0,1012,68,0,1.6,2.0,7,158,2015-10-21
658,24.7,33.6,17.8,1012,61,0,1.9,4.4,14,116,2015-10-22
659,24.1,33.2,17.3,1011,58,0,1.9,4.8,14,143,2015-10-23
660,24.9,33.7,18.0,1011,58,0,1.9,1.3,5,169,2015-10-24
661,26.4,34.4,18.3,1012,53,0,2.1,5.4,14,147,2015-10-25
662,25.4,34.4,20.3,1015,59,0,1.9,5.6,16,101,2015-10-26
663,24.7,33.3,18.5,1014,61,0,2.3,3.5,7,113,2015-10-27
664,20.8,26.3,17.6,1015,65,0,1.9,8.0,24,112,2015-10-28
665,22.1,28.8,15.3,1016,69,0,1.9,1.9,3,95,2015-10-29
666,22.4,29.7,15.9,1016,71,0,2.7,1.5,5,108,2015-10-30
667,22.3,29.8,15.6,1016,73,0,1.6,1.1,5,245,2015-10-31
668,22.9,31.4,16.2,1016,73,0,1.4,0.9,3,277,2015-11-01
669,23.4,31.8,17.3,1015,75,0,1.6,0.4,3,232,2015-11-02
670,23.9,31.8,18.6,1014,73,0,1.8,0.4,1,244,2015-11-03
671,23.8,31.9,17.5,1012,72,0,1.6,0.9,3,293,2015-11-04
672,22.2,31.9,19.6,1012,79,0,1.9,5.0,9,161,2015-11-05
673,23.0,30.2,17.4,1012,79,0,1.4,2.2,7,153,2015-11-06
674,21.9,30.2,16.1,1014,79,0,0.5,1.1,7,353,2015-11-07
675,21.9,29.0,17.1,1016,75,0,1.1,1.9,5,217,2015-11-08
676,22.1,29.8,16.1,1015,77,0,1.3,0.7,3,201,2015-11-09
677,22.7,29.8,16.0,1013,77,0,1.0,0.7,5,249,2015-11-10
678,21.8,29.4,15.4,1014,64,0,1.4,4.6,13,219,2015-11-11
679,21.9,29.3,16.5,1015,65,0,1.6,5.7,16,258,2015-11-12
680,22.3,29.3,16.1,1014,64,0,0.8,5.4,18,291,2015-11-13
681,22.4,29.8,16.5,1012,65,0,1.1,3.5,13,221,2015-11-14
682,22.6,32.0,15.0,1011,66,0,1.6,0.0,-1,214,2015-11-15
683,21.9,32.0,16.0,1012,56,0,1.9,2.8,7,184,2015-11-16
684,19.9,29.2,13.9,1013,55,0,2.4,5.0,14,136,2015-11-17
685,18.6,28.6,11.0,1016,62,0,1.4,4.4,11,188,2015-11-18
686,18.5,27.7,11.5,1017,68,0,1.3,0.9,7,238,2015-11-19
687,18.6,27.7,11.4,1016,69,0,1.1,0.4,3,271,2015-11-20
688,18.8,28.5,11.5,1015,69,0,0.8,1.3,3,293,2015-11-21
689,18.7,29.2,11.8,1015,68,0,1.3,0.4,3,247,2015-11-22
690,17.1,29.3,11.0,1015,74,0,1.1,0.0,-1,266,2015-11-23
691,18.5,29.3,11.1,1016,66,0,1.0,1.7,13,241,2015-11-24
692,19.3,28.0,13.0,1014,61,0,1.9,5.7,18,149,2015-11-25
693,20.0,29.1,11.9,1012,64,0,1.4,0.9,7,182,2015-11-26
694,18.4,29.1,13.5,1011,71,0,1.3,2.6,7,193,2015-11-27
695,19.1,24.5,14.7,1015,84,0,0.5,1.3,5,172,2015-11-28
696,18.2,24.5,12.2,1018,85,0,0.3,1.1,5,190,2015-11-29
697,19.7,28.0,14.0,1016,84,0,0.5,0.9,7,282,2015-11-30
