Day,T,TM,Tm,SLP,H,VV,V,VM
24,nan,nan,nan,nan,nan,nan,nan,nan
25,24.6,32.7,16.5,1010.6,64,1.8,2.8,11.1
26,25.2,32.7,19.1,1010.7,64,1.9,2.8,11.1
27,23.4,29.1,19.6,1011.7,69,1.9,4.8,9.4
28,nan,nan,nan,nan,nan,nan,nan,nan
29,nan,nan,nan,nan,nan,nan,nan,nan
30,nan,nan,nan,nan,nan,nan,nan,nan
31,24.2,30.8,17,1008.2,48,1.9,13.1,22.2
1,24.9,33.2,16.8,1006.2,49,2.6,9.6,25.9
2,26.8,35.2,17.7,1005.7,50,1.9,7.2,14.8
3,25.1,35.2,18,1010.4,53,2.1,10.4,25.9
4,nan,nan,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,nan,nan
7,27.2,38,21,1009.7,55,1.9,13,18.3
8,25.8,32.2,19.5,1010.3,49,2.6,12.6,18.3
9,25.7,32.8,17.5,1010.3,41,2.6,12.8,25.9
10,nan,nan,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan,nan
13,27,37.2,22.6,1009.8,49,1.9,15.6,27.8
14,27.7,34.5,21.5,1010.6,55,1.9,5.2,13
15,29.1,36.5,20.5,1009.2,53,1.8,2.6,11.1
16,nan,nan,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan,nan,nan
19,25.6,32.3,20,1011.4,64,1.9,5,14.8
20,26.8,33.6,19.2,1010.5,53,1.6,4.6,11.1
21,28.1,35.8,18.6,1010,40,1.9,8.7,16.5
22,nan,nan,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,nan,nan
24,nan,nan,nan,nan,nan,nan,nan,nan
25,30.5,38.8,20.6,1006,41,2.4,8.1,22.2
26,31.5,38.8,22.1,1006.2,39,2.4,8.1,16.5
27,30.6,38.7,21.5,1007,36,1.9,8.3,18.3
28,nan,nan,nan,nan,nan,nan,nan,nan
29,nan,nan,nan,nan,nan,nan,nan,nan
30,nan,nan,nan,nan,nan,nan,nan,nan
1,34.8,42.8,24.2,1001.7,30,2.3,9.6,18.3
2,34.5,41.7,26.2,1001.8,33,1.9,6.5,11.1
3,31.8,41.7,26.2,1003.7,43,1.9,7.4,18.3
4,nan,nan,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,nan,nan
7,31.8,38.6,24.2,1004.3,54,1.9,1.9,7.6
8,32.2,39.5,25.2,1002.1,45,1.6,9.3,16.5
9,30.7,39.5,21.4,1000.5,43,1.6,6.5,14.8
10,nan,nan,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan,nan
13,25.2,30.6,18,1008.2,71,2.6,10,20.6
14,26.9,32.1,19,1006.6,62,1.8,8.5,18.3
15,29.7,35.4,23,1004.1,48,1.8,11.1,16.5
16,nan,nan,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan,nan,nan
19,32.3,39.1,24,1006.6,36,2.3,11.7,24.1
20,31.9,38.8,26.5,1006,39,2.3,8.7,22.2
21,32.8,38.6,24.8,1002.3,40,1.9,9.6,18.3
22,nan,nan,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,nan,nan
24,nan,nan,nan,nan,nan,nan,nan,nan
25,32.4,40.6,23.2,1005.2,45,2.7,8.9,14.8
26,30,36.4,21.4,1007.2,60,2.6,4.1,14.8
27,31.8,38.8,24,1004.8,54,1.9,2.6,7.6
28,nan,nan,nan,nan,nan,nan,nan,nan
29,nan,nan,nan,nan,nan,nan,nan,nan
30,nan,nan,nan,nan,nan,nan,nan,nan
31,34.6,42.8,25,999.6,46,1.8,6.3,18.3
1,32.9,41.6,25.6,1003,44,2.9,17.4,55.4
2,32.8,39.9,25,1003.3,48,2.6,4.6,14.8
3,34.8,41.7,26.5,1000,40,2.6,6.5,14.8
4,nan,nan,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,nan,nan
7,38.5,44.9,30.8,994,31,1.9,13.1,29.4
8,37.8,45.1,28.6,993.3,34,1.9,6.7,18.3
9,37.9,45.5,30.1,993.1,38,1.9,5.9,16.5
10,nan,nan,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan,nan
13,30.3,41.1,22.7,997.7,62,2.6,16.7,29.4
14,30.5,37.1,25.5,997.3,73,2.6,6.5,22.2
15,33.9,40.6,28,997,59,2.1,8.1,25.9
16,nan,nan,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan,nan,nan
19,35.6,41.4,28.4,993.2,55,1.9,10.9,18.3
20,37.9,43,31,991.5,44,2.3,17.8,25.9
21,36.9,41.7,32.7,994,49,1.9,9.8,24.1
22,nan,nan,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,nan,nan
24,nan,nan,nan,nan,nan,nan,nan,nan
25,33.3,39,25.3,997.7,56,1.9,9.8,16.5
26,32.4,38.1,23.5,1000.8,66,1.9,3.3,7.6
27,34.7,39.9,28.8,1001.5,55,1.9,9.4,22.2
28,nan,nan,nan,nan,nan,nan,nan,nan
29,nan,nan,nan,nan,nan,nan,nan,nan
30,nan,nan,nan,nan,nan,nan,nan,nan
1,31.2,35.2,27,1000.9,71,1.9,6.3,11.1
2,29.5,36.6,25.5,1000.9,76,1.8,5.7,14.8
3,28.9,36.6,26.1,998.4,80,1.9,5.2,14.8
4,nan,nan,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,nan,nan
7,34,38.8,26.8,998.1,55,1.9,5.6,14.8
8,34.9,40.3,28.6,996.8,48,1.9,9.6,25.9
9,35.9,40.5,29.6,996.3,46,1.9,13.7,27.8
10,nan,nan,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan,nan
13,33.3,42.3,29.2,997.8,69,1.9,5.2,9.4
14,32.4,40.2,25.9,997.2,74,1.9,6.7,14.8
15,33.2,39,28.5,996.2,68,1.9,8.9,11.1
16,nan,nan,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan,nan,nan
19,29.8,33.6,25.4,995.1,76,1.9,6.3,18.3
20,30.8,34.6,26.5,996.6,74,1.9,6.3,14.8
21,32.1,35.8,27.2,996.1,71,1.9,4.6,9.4
22,nan,nan,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,nan,nan
24,nan,nan,nan,nan,nan,nan,nan,nan
25,30.7,33.9,26.5,1000.8,70,1.9,10,14.8
26,32.5,37.5,27.6,1001.9,67,1.9,7.2,18.3
27,31.7,37.5,28.1,1002.1,71,1.9,2.4,33.5
28,nan,nan,nan,nan,nan,nan,nan,nan
29,nan,nan,nan,nan,nan,nan,nan,nan
30,nan,nan,nan,nan,nan,nan,nan,nan
31,32.5,36.5,28.2,999.9,71,1.9,7.8,16.5
1,33.3,37.7,28.1,998,66,1.9,6.5,9.4
2,30.3,35.3,28.4,996.9,81,1.9,0.9,7.6
3,31.4,36.6,27,995.3,72,1.9,5.7,13
4,nan,nan,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,nan,nan
7,31,34,29,996.8,71,1.9,5.6,16.5
8,30.9,35,27.6,998.4,73,1.9,5.9,14.8
9,30.9,35.4,27,1000.3,75,1.9,4.8,16.5
10,nan,nan,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan,nan
13,32,36.6,27,998.1,63,2.3,20.7,27.8
14,30.5,36.2,25.4,997.3,65,2.3,18.5,29.4
15,31.2,35.7,27.6,999,62,1.9,14.6,27.8
16,nan,nan,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan,nan,nan
19,33,37,27,1004.8,59,1.9,6.9,16.5
20,33.3,38.4,28,1002.5,54,1.9,8.9,18.3
21,32.6,38.4,28,1001.3,51,1.9,10.9,27.8
22,nan,nan,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,nan,nan
24,nan,nan,nan,nan,nan,nan,nan,nan
25,33.7,39.1,27.5,1002.6,53,2.7,7.8,16.5
26,34.1,39.4,29,1001.5,49,3.1,10,18.3
27,34.1,39.4,27.5,1001.1,53,2.9,8,20.6
28,nan,nan,nan,nan,nan,nan,nan,nan
29,nan,nan,nan,nan,nan,nan,nan,nan
30,nan,nan,nan,nan,nan,nan,nan,nan
31,27.5,34.8,25,1001,89,1.9,4.3,16.5
1,29.5,35.3,24.6,1001.1,71,2.3,10.9,48.2
2,29.4,35.3,26.3,1001.7,76,2.6,10.4,20.6
3,28.5,33.2,26,1001.3,82,1.9,15,25.9
4,nan,nan,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,nan,nan
7,30.9,34.7,25.7,1003.5,73,1.9,1.3,5.4
8,31.2,36,26.4,1003.3,72,1.9,3.5,13
9,30.8,36,26.8,1002.5,76,1.9,1.9,11.1
10,nan,nan,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan,nan
13,29.3,34.1,23.5,1004.1,73,1.8,4.3,11.1
14,29,34.8,24.6,1004.3,71,1.9,6.7,14.8
15,29.8,34.9,22.5,1004.2,68,2.6,6.7,18.3
16,nan,nan,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan,nan,nan
19,31,36.3,25.3,1003.5,62,3.1,4.3,14.8
20,31,36.3,26,1002.8,61,2.3,4.4,11.1
21,30.4,36.2,25.2,1003.6,61,2.6,5.6,14.8
22,nan,nan,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,nan,nan
24,nan,nan,nan,nan,nan,nan,nan,nan
25,30,35.8,24.2,1007.7,58,2.6,9.6,18.3
26,30.1,35.7,24,1008.1,57,2.4,5.7,16.5
27,30.7,36.3,25.4,1009.2,54,3.1,8.9,16.5
28,nan,nan,nan,nan,nan,nan,nan,nan
29,nan,nan,nan,nan,nan,nan,nan,nan
30,nan,nan,nan,nan,nan,nan,nan,nan
1,31,36.9,24.3,1010.1,54,3.1,3.1,11.1
2,30.3,36.9,24.6,1009.1,58,2.6,2.8,9.4
3,30.7,37,24.4,1008.1,57,2.7,2,14.8
4,nan,nan,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,nan,nan
7,30.9,37.2,24.5,1008.3,65,1.6,1.1,5.4
8,29.6,35.2,24.9,1009.9,59,1.9,3,20.6
9,27.6,34.6,22.2,1010,56,2.3,3.3,11.1
10,nan,nan,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan,nan
13,27.6,34.5,18.6,1009.8,66,1.8,8.7,14.8
14,24.4,33.6,21.4,1011,75,1.9,5.4,14.8
15,24.5,30.4,19.6,1014.8,73,2.1,3.1,7.6
16,nan,nan,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan,nan,nan
19,23.8,31.5,16.5,1012.5,61,1.4,4.3,11.1
20,24.7,32.3,16.6,1013.3,60,1.8,4.4,14.8
21,25.4,33.3,18,1014.5,60,1.4,2,5.4
22,nan,nan,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,nan,nan
24,nan,nan,nan,nan,nan,nan,nan,nan
25,25.4,33.1,18.6,1012.3,71,1,0.9,3.5
26,25.1,32.3,19.4,1014.9,69,1.4,2,9.4
27,24.9,32.6,19.5,1013.7,67,1.4,1.9,9.4
28,nan,nan,nan,nan,nan,nan,nan,nan
29,nan,nan,nan,nan,nan,nan,nan,nan
30,nan,nan,nan,nan,nan,nan,nan,nan
31,23.2,32.1,16,1013.7,62,1,3.7,11.1
1,22.5,29.3,16.6,1014,57,1.3,5.4,11.1
2,22.7,31.1,15.8,1014.5,54,1.4,7.2,20.6
3,23.4,31.2,15,1013.4,58,1.1,4.1,14.8
4,nan,nan,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,nan,nan
7,23.9,31.7,16.6,1012.9,69,1,2.4,11.1
8,24,32.1,17.1,1014.6,69,1.3,1.7,9.4
9,24.2,31.6,17.2,1015.3,62,1.1,4.3,11.1
10,nan,nan,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan,nan
13,18.5,27.6,11.7,1016.6,56,1.3,3.3,11.1
14,18.3,27.6,9,1016.4,48,1.3,7.4,22.2
15,18.6,27.5,10.6,1014.8,51,1.3,2.8,11.1
16,nan,nan,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan,nan,nan
19,17.6,28.8,8.5,1016.6,59,1.3,1.1,9.4
20,18.4,28.8,11.7,1014.9,58,1.4,3.7,9.4
21,17.2,27.8,9.8,1014.1,64,1,2,11.1
22,nan,nan,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,nan,nan
24,nan,nan,nan,nan,nan,nan,nan,nan
25,16.4,26.6,8,1015,57,1.3,2.6,14.8
26,17.4,26.7,9,1011.2,55,1.4,6.3,14.8
27,18.2,29.7,9.1,1011.8,66,1,0,-
28,nan,nan,nan,nan,nan,nan,nan,nan
29,nan,nan,nan,nan,nan,nan,nan,nan
30,nan,nan,nan,nan,nan,nan,nan,nan
1,20.1,30,11.4,1013.8,47,1.8,8.9,22.2
2,20.1,29,13.8,1014.3,52,1.9,7.2,22.2
3,20.3,28.1,14,1013.6,52,1.9,9.3,22.2
4,nan,nan,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,nan,nan
7,17.2,27.4,10.5,1014.9,52,1.6,4.8,14.8
8,17.1,26.3,10.2,1015.1,54,1.6,2.8,11.1
9,15.2,28.9,8.8,1016.8,70,1.3,0,-
10,nan,nan,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan,nan
13,15.8,22.3,10.4,1016.2,77,1,8.9,14.8
14,15,20.8,13.2,1016.8,93,1.1,3.5,9.4
15,14.2,20,10.4,1019.2,82,1.6,1.9,9.4
16,nan,nan,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan,nan,nan
19,11.7,17.6,7.4,1022.3,85,0.3,0.4,3.5
20,11.3,17.5,7.2,1018.8,81,0.8,5.7,13
21,9.5,17.5,5.6,1018.1,84,0.5,0.9,3.5
22,nan,nan,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,nan,nan
24,nan,nan,nan,nan,nan,nan,nan,nan
25,9.3,16,6,1020,85,0.6,8.1,14.8
26,10.8,17,6.3,1017.7,82,0.8,7.8,11.1
27,10.4,19.2,4.8,1018.6,71,0.8,2.8,11.1
28,nan,nan,nan,nan,nan,nan,nan,nan
29,nan,nan,nan,nan,nan,nan,nan,nan
30,nan,nan,nan,nan,nan,nan,nan,nan
31,-,-,-,-,-,-,-,-
1,14.9,21.6,8.8,1017.4,76,0.8,0.9,7.6
2,14.7,21.6,10.2,1018.1,97,0.6,3.1,9.4
3,15,16.8,13.6,1017.5,94,0.5,0.9,7.6
4,nan,nan,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,nan,nan
7,9.8,17.6,6.4,1016.6,90,0.5,3.9,11.1
8,10.1,14.5,7.2,1019.2,90,0.3,3.3,7.6
9,10.5,16.3,6.8,1020.1,84,0.5,1.5,5.4
10,nan,nan,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan,nan
13,12.3,18.3,4,1017.1,81,0.5,4.8,9.4
14,12.1,18.3,9,1017.5,86,0.6,5.2,9.4
15,12.3,19,5.8,1019.3,82,0.5,0.9,7.6
16,nan,nan,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan,nan,nan
19,13.9,21.6,9.4,1019,79,1,1.9,14.8
20,13.4,20.7,9.8,1020.1,80,0.8,7.2,11.1
21,13.3,17.5,9.5,1021.2,79,0.8,3.7,7.6
22,nan,nan,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,nan,nan
24,nan,nan,nan,nan,nan,nan,nan,nan
25,13.1,18.3,8.5,1020.6,80,0.8,4.1,14.8
26,13.7,18.3,11.6,1019.9,91,0.6,0.9,7.6
27,13.3,18.4,9.8,1019.3,79,1,5.2,14.8
28,nan,nan,nan,nan,nan,nan,nan,nan
29,nan,nan,nan,nan,nan,nan,nan,nan
30,nan,nan,nan,nan,nan,nan,nan,nan
31,13.8,21.5,7.2,1018,60,2.4,9.1,24.1
1,15.1,24,6.7,1017.6,66,1.3,5,11.1
2,17.3,23.8,10.4,1017.5,70,1,11.9,18.3
3,16.7,23.8,13,1020.7,75,0.8,7.2,14.8
4,nan,nan,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,nan,nan
7,15.7,25.6,7.4,1016.9,68,1.4,1.9,7.6
8,16.7,25.6,9.3,1017.5,66,1.4,4.4,13
9,16.9,25.5,10.5,1019.9,65,2.3,5.6,22.2
10,nan,nan,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan,nan
13,17.2,25.5,9.3,1012.8,61,2.4,6.7,20.6
14,19.3,28.6,10.6,1009.5,65,2.6,4.3,14.8
15,18.9,28.6,11.2,1012.8,73,0.8,1.5,7.6
16,nan,nan,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan,nan,nan
19,22.9,29.3,17,1012.4,78,1.6,7.6,14.8
20,22.8,29.3,18,1013.7,72,1.9,7.2,14.8
21,21.9,29.1,15.2,1014.1,69,2.3,11.3,18.3
22,nan,nan,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,nan,nan
24,nan,nan,nan,nan,nan,nan,nan,nan
25,23.2,28.6,18.4,1008.5,65,1.4,6.5,13
26,20,27.6,14.5,1009.8,42,1.9,6.7,11.1
27,19.2,27.6,11.1,1013,49,2.6,5.7,11.1
28,nan,nan,nan,nan,nan,nan,nan,nan
1,17.3,19,15.2,1011,94,1.8,14.8,24.1
2,17.4,22.1,14.6,1012.6,92,1.9,6.7,16.5
3,16.1,22.1,12.8,1013.8,84,1.8,5.6,13
4,nan,nan,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,nan,nan
7,18.6,27.3,12.5,1014,79,2.6,3.9,13
8,19.4,27.6,14,1015.2,79,2.3,7.8,18.3
9,18.1,24.1,13.3,1021.1,60,2.7,12.2,20.6
10,nan,nan,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan,nan
13,21.3,28.3,14.2,1014.7,70,1.6,4.1,9.4
14,21.6,27.3,15.8,1015.3,71,2.6,7.8,20.6
15,17.7,27.3,16,1015.3,92,1.9,11.5,18.3
16,nan,nan,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan,nan,nan
19,21.1,28.3,14,1014.8,69,2.4,5.4,13
20,22.5,30.2,14.5,1014.8,68,2.6,9.1,22.2
21,24.9,31.7,15.8,1014.8,65,2.6,5.9,13
22,nan,nan,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,nan,nan
24,nan,nan,nan,nan,nan,nan,nan,nan
25,26.8,35.1,18.5,1011.7,68,2.3,2.6,11.1
26,28.6,36.5,20.3,1012.4,59,1.8,9.3,55.4
27,27.7,35.6,20.4,1011.7,54,2.7,7.4,24.1
28,nan,nan,nan,nan,nan,nan,nan,nan
29,nan,nan,nan,nan,nan,nan,nan,nan
30,nan,nan,nan,nan,nan,nan,nan,nan
31,25.1,30.8,19,1010.4,70,2.1,3.7,11.1
1,26.4,32.5,20.3,1007.4,64,1.9,2.4,9.4
2,28.7,34.7,21,1004.7,53,1.9,9.4,18.3
3,24.4,34.7,19,1004.6,76,3.1,7,14.8
4,nan,nan,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,nan,nan
7,23.9,31.4,19.2,1010.2,69,1.9,9.8,13
8,25.2,32.2,18.2,1012,56,2.6,6.7,16.5
9,25.8,32.5,18.6,1010.3,58,2.7,9.1,24.1
10,nan,nan,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan,nan
13,24.9,32.2,19,1013.7,74,2.3,7,13
14,26.4,32.5,20,1012.8,68,2.6,3,11.1
15,27.6,34.3,20.8,1013,65,3.1,5.9,14.8
16,nan,nan,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan,nan,nan
19,32,40.6,21.6,1003.9,45,2.7,4.3,9.4
20,32.8,40.6,26,1005.8,45,1.9,7.2,11.1
21,31.8,39.6,25.4,1005.6,35,1.9,11.1,27.8
22,nan,nan,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,nan,nan
24,nan,nan,nan,nan,nan,nan,nan,nan
25,30.4,39.1,22.2,1005.9,51,1.9,13,22.2
26,28.8,37.1,22.8,1008,59,1.9,15.7,25.9
27,30.2,37.1,23.5,1006.7,59,1.9,17.6,33.5
28,nan,nan,nan,nan,nan,nan,nan,nan
29,nan,nan,nan,nan,nan,nan,nan,nan
30,nan,nan,nan,nan,nan,nan,nan,nan
